alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.000616,3,0,0.639,0.016,0.6296,0.0174,0.6831,0.0194
1.0,0.000616,3,1,0.7467,0.0109,0.7463,0.011,0.8015,0.011
1.0,0.000616,3,2,0.7989,0.0109,0.7985,0.0111,0.865,0.0106
1.0,0.000616,3,3,0.831,0.0072,0.8308,0.0072,0.901,0.0059
1.0,0.000616,3,4,0.8385,0.0085,0.8384,0.0085,0.9103,0.0054
1.0,0.000616,3,5,0.8409,0.0062,0.8408,0.0063,0.9138,0.0054
1.0,0.000616,3,6,0.8419,0.0062,0.8419,0.0064,0.9152,0.0053
1.0,0.000616,3,7,0.841,0.0053,0.8409,0.0054,0.9156,0.0053
