alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time,selected_metric
1.0,0.000113,3,4,0.8608,0.0115,0.8606,0.0115,0.9142,0.0068,1696.935,acc;f1_score
1.0,0.000162,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0069,1696.935,acc;f1_score
1.0,0.000234,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0068,1696.935,acc;f1_score
1.0,0.000483,3,4,0.8608,0.0112,0.8606,0.0112,0.9142,0.0068,1696.935,acc;f1_score
