alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time,selected_metric
1.0,0.000379,3,7,0.8282,0.0247,0.7928,0.0356,0.8099,0.0243,38.5915,acc;f1_score
1.0,0.000483,3,7,0.8282,0.0247,0.7928,0.0356,0.8098,0.0243,38.5915,acc;f1_score
1.0,0.000616,3,7,0.8282,0.0247,0.7928,0.0356,0.8094,0.0244,38.5915,acc;f1_score
1.0,0.000785,3,7,0.8282,0.0247,0.7928,0.0356,0.8092,0.0235,38.5915,acc;f1_score
1.0,0.001,3,7,0.8282,0.0247,0.7928,0.0356,0.809,0.0238,38.5915,acc;f1_score
