alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,6e-06,3,0,0.7529,0.0175,0.7529,0.0175,0.815,0.0167
1.0,6e-06,3,1,0.8457,0.017,0.8455,0.0171,0.9042,0.014
1.0,6e-06,3,2,0.8487,0.0194,0.8486,0.0194,0.9086,0.013
1.0,6e-06,3,3,0.8557,0.017,0.8555,0.0171,0.9111,0.0131
1.0,6e-06,3,4,0.8543,0.0159,0.8541,0.016,0.9117,0.0123
1.0,6e-06,3,5,0.8573,0.0187,0.8571,0.0187,0.9121,0.0122
1.0,6e-06,3,6,0.8561,0.0171,0.8559,0.0172,0.9116,0.0124
1.0,6e-06,3,7,0.8547,0.0162,0.8545,0.0162,0.9111,0.0127
