alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.007848,3,0,0.882,0.0407,0.8765,0.0387,0.9035,0.0426
1.0,0.007848,3,1,0.8852,0.0328,0.8793,0.0336,0.9094,0.0372
1.0,0.007848,3,2,0.8787,0.0356,0.8721,0.0353,0.9098,0.0367
1.0,0.007848,3,3,0.8787,0.0372,0.872,0.0373,0.9088,0.0393
1.0,0.007848,3,4,0.8803,0.0337,0.8734,0.0348,0.9086,0.0395
1.0,0.007848,3,5,0.877,0.0311,0.8702,0.0317,0.905,0.04
1.0,0.007848,3,6,0.8754,0.032,0.8677,0.0327,0.9032,0.04
1.0,0.007848,3,7,0.8754,0.032,0.8677,0.0327,0.9014,0.0406
