alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000113,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000127,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000144,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000162,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000183,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000207,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000234,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000264,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000298,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000336,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000379,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000428,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.01,0.000483,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.01,0.000546,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.01,0.000616,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.01,0.000695,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.01,0.000785,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.01,0.000886,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.01,0.001,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.0001,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000113,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000127,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000144,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000162,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000183,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000207,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000234,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000264,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000298,3,0,0.8447,0.0403,0.8431,0.0396,0.9898,0.0052,64.1735
0.013895,0.000336,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000379,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000428,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000483,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000546,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000616,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000695,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000785,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.000886,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
0.013895,0.001,3,0,0.8447,0.0403,0.8431,0.0396,0.9899,0.0052,64.1735
