alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.019307,0.006158,3,0,0.8607,0.0348,0.8462,0.043,0.8585,0.0571,12.3858
0.019307,0.007848,3,0,0.8607,0.0348,0.8462,0.043,0.8586,0.0572,12.3858
0.019307,0.01,3,0,0.8607,0.0348,0.8462,0.043,0.8593,0.0569,12.3858
0.026827,0.0001,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.026827,0.000127,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.026827,0.000162,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.026827,0.000207,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0577,12.3858
0.026827,0.000264,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.058,12.3858
0.026827,0.000336,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.026827,0.000428,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.026827,0.000546,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.026827,0.000695,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.026827,0.000886,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.026827,0.001129,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.026827,0.001438,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.026827,0.001833,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.026827,0.002336,3,0,0.859,0.0364,0.8435,0.0464,0.8575,0.0578,12.3858
0.026827,0.002976,3,0,0.859,0.0364,0.8435,0.0464,0.8578,0.057,12.3858
0.026827,0.003793,3,0,0.859,0.0364,0.8435,0.0464,0.858,0.0571,12.3858
0.026827,0.004833,3,0,0.8607,0.0348,0.8462,0.043,0.8585,0.0573,12.3858
0.026827,0.006158,3,0,0.8607,0.0348,0.8462,0.043,0.8586,0.0572,12.3858
0.026827,0.007848,3,0,0.8607,0.0348,0.8462,0.043,0.8594,0.0566,12.3858
0.026827,0.01,3,0,0.8623,0.0338,0.8486,0.0412,0.8598,0.0563,12.3858
0.037276,0.0001,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.037276,0.000127,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.037276,0.000162,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.058,12.3858
0.037276,0.000207,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.058,12.3858
0.037276,0.000264,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.037276,0.000336,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.037276,0.000428,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.037276,0.000546,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.037276,0.000695,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.037276,0.000886,3,0,0.859,0.0364,0.8435,0.0464,0.857,0.0581,12.3858
0.037276,0.001129,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.037276,0.001438,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.037276,0.001833,3,0,0.859,0.0364,0.8435,0.0464,0.8575,0.0574,12.3858
0.037276,0.002336,3,0,0.859,0.0364,0.8435,0.0464,0.858,0.0571,12.3858
0.037276,0.002976,3,0,0.8607,0.0348,0.8462,0.043,0.8583,0.0572,12.3858
0.037276,0.003793,3,0,0.8607,0.0348,0.8462,0.043,0.8586,0.0572,12.3858
0.037276,0.004833,3,0,0.8607,0.0348,0.8462,0.043,0.8593,0.0569,12.3858
0.037276,0.006158,3,0,0.8607,0.0348,0.8462,0.043,0.8596,0.0563,12.3858
0.037276,0.007848,3,0,0.8623,0.0338,0.8486,0.0412,0.8601,0.0556,12.3858
0.037276,0.01,3,0,0.8623,0.0338,0.8486,0.0412,0.861,0.0554,12.3858
0.051795,0.0001,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0577,12.3858
0.051795,0.000127,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.058,12.3858
0.051795,0.000162,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.051795,0.000207,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.051795,0.000264,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.051795,0.000336,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.051795,0.000428,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.051795,0.000546,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.051795,0.000695,3,0,0.859,0.0364,0.8435,0.0464,0.857,0.0581,12.3858
0.051795,0.000886,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.051795,0.001129,3,0,0.859,0.0364,0.8435,0.0464,0.8574,0.0579,12.3858
0.051795,0.001438,3,0,0.859,0.0364,0.8435,0.0464,0.8577,0.0573,12.3858
0.051795,0.001833,3,0,0.859,0.0364,0.8435,0.0464,0.858,0.0571,12.3858
0.051795,0.002336,3,0,0.8607,0.0348,0.8462,0.043,0.8583,0.0572,12.3858
0.051795,0.002976,3,0,0.8607,0.0348,0.8462,0.043,0.8586,0.0572,12.3858
0.051795,0.003793,3,0,0.8607,0.0348,0.8462,0.043,0.8594,0.0566,12.3858
0.051795,0.004833,3,0,0.8623,0.0338,0.8486,0.0412,0.8596,0.0564,12.3858
0.051795,0.006158,3,0,0.8623,0.0338,0.8486,0.0412,0.8604,0.0558,12.3858
0.051795,0.007848,3,0,0.8623,0.0338,0.8486,0.0412,0.8612,0.0553,12.3858
0.051795,0.01,3,0,0.8623,0.0338,0.8486,0.0412,0.863,0.0545,12.3858
0.071969,0.0001,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.058,12.3858
0.071969,0.000127,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.071969,0.000162,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.071969,0.000207,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.071969,0.000264,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.071969,0.000336,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.071969,0.000428,3,0,0.859,0.0364,0.8435,0.0464,0.857,0.0581,12.3858
0.071969,0.000546,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.071969,0.000695,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.071969,0.000886,3,0,0.859,0.0364,0.8435,0.0464,0.8574,0.0577,12.3858
0.071969,0.001129,3,0,0.859,0.0364,0.8435,0.0464,0.858,0.0571,12.3858
0.071969,0.001438,3,0,0.8607,0.0348,0.8462,0.043,0.858,0.0574,12.3858
0.071969,0.001833,3,0,0.8607,0.0348,0.8462,0.043,0.8586,0.0572,12.3858
0.071969,0.002336,3,0,0.8607,0.0348,0.8462,0.043,0.8591,0.0569,12.3858
0.071969,0.002976,3,0,0.8607,0.0348,0.8462,0.043,0.8594,0.0563,12.3858
0.071969,0.003793,3,0,0.8623,0.0338,0.8486,0.0412,0.8601,0.0556,12.3858
0.071969,0.004833,3,0,0.8623,0.0338,0.8486,0.0412,0.861,0.0554,12.3858
0.071969,0.006158,3,0,0.8623,0.0338,0.8486,0.0412,0.8617,0.055,12.3858
0.071969,0.007848,3,0,0.8623,0.0338,0.8486,0.0412,0.8633,0.0546,12.3858
0.071969,0.01,3,0,0.8656,0.0377,0.8524,0.0458,0.8641,0.0543,12.3858
0.1,0.0001,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.1,0.000127,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.1,0.000162,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.1,0.000207,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.1,0.000264,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.1,0.000336,3,0,0.859,0.0364,0.8435,0.0464,0.857,0.0581,12.3858
0.1,0.000428,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.1,0.000546,3,0,0.859,0.0364,0.8435,0.0464,0.8574,0.0579,12.3858
0.1,0.000695,3,0,0.859,0.0364,0.8435,0.0464,0.8577,0.0573,12.3858
0.1,0.000886,3,0,0.859,0.0364,0.8435,0.0464,0.858,0.0571,12.3858
0.1,0.001129,3,0,0.8607,0.0348,0.8462,0.043,0.8583,0.0572,12.3858
0.1,0.001438,3,0,0.8607,0.0348,0.8462,0.043,0.8586,0.0572,12.3858
0.1,0.001833,3,0,0.8607,0.0348,0.8462,0.043,0.8596,0.0563,12.3858
0.1,0.002336,3,0,0.8623,0.0338,0.8486,0.0412,0.8594,0.0563,12.3858
0.1,0.002976,3,0,0.8623,0.0338,0.8486,0.0412,0.8606,0.056,12.3858
0.1,0.003793,3,0,0.8623,0.0338,0.8486,0.0412,0.8614,0.0554,12.3858
0.1,0.004833,3,0,0.8623,0.0338,0.8486,0.0412,0.8628,0.0546,12.3858
0.1,0.006158,3,0,0.8656,0.0377,0.8524,0.0458,0.8638,0.0542,12.3858
0.1,0.007848,3,0,0.8656,0.0377,0.8524,0.0458,0.865,0.0539,12.3858
