dataset,gk_gamma,acc,f1_score,roc_auc_score
Mutagenicity,0.000886,0.8415,0.8414,0.9153
Mutagenicity,0.001,0.8415,0.8414,0.9154
BZR_MD,0.001,0.6674,0.6624,0.694
BZR_MD,0.001129,0.6674,0.6617,0.694
BZR_MD,0.001274,0.6717,0.6656,0.6934
BZR_MD,0.001438,0.6717,0.6653,0.6944
BZR_MD,0.001624,0.6761,0.6694,0.6976
BZR_MD,0.001833,0.6696,0.6623,0.7009
BZR_MD,0.002069,0.6696,0.6614,0.7078
BZR_MD,0.002336,0.6804,0.6703,0.7117
BZR_MD,0.002637,0.687,0.6768,0.7131
BZR_MD,0.002976,0.6891,0.6787,0.7163
BZR_MD,0.00336,0.6804,0.6665,0.7144
BZR_MD,0.003793,0.6739,0.6576,0.7095
BZR_MD,0.004281,0.6674,0.648,0.7051
BZR_MD,0.004833,0.6565,0.6314,0.7026
BZR_MD,0.005456,0.6522,0.6254,0.6988
BZR_MD,0.006158,0.6239,0.585,0.6935
BZR_MD,0.006952,0.6087,0.5649,0.6868
BZR_MD,0.007848,0.6022,0.5557,0.6379
BZR_MD,0.008859,0.6022,0.555,0.6369
BZR_MD,0.01,0.6,0.5528,0.6361
DHFR,0.0001,0.8474,0.8449,0.9119
DHFR,0.000127,0.8474,0.8449,0.9119
DHFR,0.000162,0.8474,0.8449,0.9119
DHFR,0.000207,0.8474,0.8449,0.912
DHFR,0.000264,0.8474,0.8449,0.912
DHFR,0.000336,0.8474,0.8449,0.912
DHFR,0.000428,0.8465,0.8441,0.912
DHFR,0.000546,0.8465,0.8441,0.912
DHFR,0.000695,0.8474,0.8449,0.912
DHFR,0.000886,0.8474,0.8449,0.912
DHFR,0.001129,0.8474,0.8449,0.9126
DHFR,0.001438,0.8482,0.8459,0.9128
DHFR,0.001833,0.8482,0.8459,0.9138
DHFR,0.002336,0.8474,0.8449,0.9139
DHFR,0.002976,0.8474,0.8449,0.914
DHFR,0.003793,0.8474,0.8449,0.9144
DHFR,0.004833,0.8465,0.844,0.9142
DHFR,0.006158,0.8482,0.8459,0.9146
DHFR,0.007848,0.85,0.8476,0.9151
DHFR,0.01,0.8491,0.8466,0.9151
